smiles_canonical,activity_label,MolWt,LogP,TPSA,HBD,HBA,RB
O=C(Cc1ccccc1)NC1CCSC1=O,1,235.308,1.3774000000000002,46.17,1,3,3
O=C(Cc1ccc(-c2ccccc2)cc1)NC1CCSC1=O,1,311.406,3.0444000000000013,46.17,1,3,4
COc1ccc(CC(=O)NC2CCSC2=O)cc1,1,265.334,1.3859999999999997,55.4,1,4,4
CCCCCc1cn(CC(=O)NC2CCOC2=O)nn1,1,280.328,0.44250000000000017,86.11000000000001,1,6,7
Cc1ccc(-n2cc(CCC(=O)NC3CCOC3=O)nn2)cc1,0,314.3450000000001,0.9400199999999994,86.11000000000001,1,6,5
O=C(Cn1cc(C2CCCCC2)nn1)NC1CCOC1=O,0,292.33900000000006,0.7574999999999994,86.11000000000001,1,6,4
O=C(Cn1cc(-c2cc(F)cc(F)c2)nn1)NC1CCOC1=O,0,322.27099999999996,0.6549999999999998,86.11,1,6,4
O=C(Cn1cc(-c2ccccc2)nn1)NC1CCOC1=O,0,286.291,0.3767999999999996,86.11,1,6,4
O=C(Cn1cc(C2CCCC2)nn1)NC1CCOC1=O,0,278.312,0.36739999999999956,86.11000000000001,1,6,4
COc1ccc(-n2cc(CCC(=O)NC3CCOC3=O)nn2)cc1,0,330.3440000000001,0.6401999999999999,95.34,1,7,6
O=C(NCCc1ccc(Br)cc1)c1ccccc1[N+](=O)[O-],1,349.184,3.3298000000000023,72.24,1,3,5
CCCCCCCCCNC(=O)CC(=O)c1ccco1,1,279.38,3.7192000000000025,59.31,1,3,11
CCCCCCCC(=O)NC1CCCC1,0,211.34899999999996,3.405700000000002,29.1,1,1,7
CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,1,297.39500000000004,2.5180000000000007,72.47,1,4,11
CCCCCCCCCC(=O)CC(=O)NC1CCSC1=O,1,313.463,3.2346000000000013,63.24,1,4,11
CCCCCCCCCC(=O)CC(=O)NC1CCCC1=O,1,295.42300000000006,3.3241000000000014,63.24,1,3,11
CCCCCCCCCC(=O)CC(=O)NC1CCNC1=O,1,296.411,2.0909999999999997,75.27000000000001,2,3,11
CCCCCCCCCC(=O)CC(=O)NC1CCCC1,1,281.44000000000005,4.145100000000003,46.17,1,2,11
CCCCCCCCCC(=O)CC(=O)NCC1CCCO1,1,297.4390000000001,3.3815000000000017,55.400000000000006,1,3,12
CCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1,1,283.41200000000003,2.9914000000000014,55.400000000000006,1,3,11
CCCCCCCCCC(=O)CC(=O)N[C@H]1CCO[C@@H]1O,1,299.411,2.3098000000000005,75.63000000000001,2,4,11
CCCCCCCC(=O)CC(=O)NC1CCOC1=O,1,269.34099999999995,1.7378,72.47,1,4,9
CCCCC/C=C/CCC(=O)CC(=O)NC1CCOC1=O,1,295.379,2.2939999999999996,72.47,1,4,10
CCCCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,1,325.4490000000001,3.2982000000000014,72.47,1,4,13
CCCCCCCCCC(O)CC(=O)NC1CCOC1=O,1,299.411,2.3098000000000005,75.63,2,4,11
N#CSCC(=O)CC(=O)NC1CCOC1=O,1,242.25599999999994,-0.40842,96.25999999999999,1,6,5
O=C(CCCn1c(O)ccc1O)Oc1c(Br)cc(Br)cc1CNC(=O)c1ccccc1[N+](=O)[O-],1,597.2160000000001,4.648300000000003,143.93,3,8,9
CCC(=O)CC(=O)NC1CCCCC1=O,1,211.26099999999994,0.9834999999999998,63.24,1,3,4
O=C(COc1cccc(Br)c1)NC1CCSC1=O,1,330.203,1.9762,55.400000000000006,1,4,4
O=C(NCc1cc(Br)cc(Br)c1OC(=O)c1ccccc1[N+](=O)[O-])c1ccccc1Cl,1,568.6050000000001,5.922400000000003,98.53999999999999,1,5,6
O=C(Oc1c(Br)cc(Br)cc1CNC(=O)c1ccccc1[N+](=O)[O-])c1ccccc1Cl,1,568.6050000000001,5.922400000000003,98.53999999999999,1,5,6
CCC(=O)CC(=O)Nc1ccccc1O,1,207.229,1.6998999999999997,66.4,2,3,4
O=C(NCc1cc(Br)cc(Br)c1OC(=O)c1ccccc1Cl)c1cccnc1,1,524.5960000000001,5.409200000000002,68.28999999999999,1,4,5
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccccc1Cl)NC1CCOC1=O,1,531.5840000000001,4.0584000000000024,81.69999999999999,1,5,5
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccccc1Cl)Nc1cccc(F)c1F,1,559.5880000000001,6.543600000000001,55.400000000000006,1,3,5
O=C(Cc1cc(Br)cc(Br)c1OCc1c(Cl)cccc1Cl)Nc1ccccc1[N+](=O)[O-],1,589.0670000000001,7.1868000000000025,81.47,1,4,7
COc1ccccc1C(=O)Oc1c(Br)cc(Br)cc1CC(=O)Nc1ccccc1[N+](=O)[O-],1,564.186,5.528800000000004,107.77000000000001,1,6,7
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccccc1Br)Nc1ccccc1[N+](=O)[O-],1,613.0560000000002,6.282700000000003,98.54,1,5,6
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1c(Cl)cccc1Cl)Nc1ccccc1[N+](=O)[O-],1,603.0500000000001,6.827000000000003,98.53999999999999,1,5,6
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccccc1Cl)Nc1cc(F)c(F)cc1[N+](=O)[O-],1,604.5850000000003,6.451800000000001,98.54,1,5,6
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccccc1Cl)Nc1ccccc1[N+](=O)[O-],1,568.6050000000001,6.173600000000002,98.54,1,5,6
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccc(F)cc1Br)Nc1ccccc1[N+](=O)[O-],1,631.0460000000002,6.421800000000003,98.53999999999999,1,5,6
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccccc1Cl)Nc1ccncc1[N+](=O)[O-],1,569.5930000000001,5.568600000000002,111.43,1,6,6
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccccc1[N+](=O)[O-])Nc1ccccc1[N+](=O)[O-],1,579.1570000000002,5.4284000000000034,141.68,1,7,7
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccccc1Cl)Nc1ccncn1,1,525.5840000000001,5.0554000000000014,81.18,1,5,5
Cc1ccccc1C(=O)Oc1c(Br)cc(Br)cc1CC(=O)Nc1ccccc1[N+](=O)[O-],1,548.1870000000001,5.8286200000000035,98.54,1,5,6
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccccc1F)Nc1ccccc1[N+](=O)[O-],1,552.1500000000002,5.659300000000003,98.54,1,5,6
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccccc1I)Nc1ccccc1[N+](=O)[O-],1,660.0560000000002,6.124800000000003,98.54,1,5,6
O=C(NCc1cc(Br)cc(Br)c1OC(=O)c1ccccc1Cl)c1ccncn1,1,525.5840000000001,4.804200000000002,81.17999999999999,1,5,5
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccccc1Cl)Nc1ccc([N+](=O)[O-])cc1,0,568.6050000000001,6.173600000000002,98.54,1,5,6
O=C(NCc1cc(Br)cc(Br)c1OC(=O)c1ccccc1Cl)c1ccccn1,0,524.5960000000001,5.409200000000002,68.28999999999999,1,4,5
Cc1cccc(C(=O)Oc2c(Br)cc(Br)cc2CC(=O)Nc2ccccc2[N+](=O)[O-])c1,0,548.1870000000001,5.8286200000000035,98.54,1,5,6
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccc(Cl)cc1)Nc1ccccc1[N+](=O)[O-],0,568.6050000000001,6.173600000000003,98.53999999999999,1,5,6
O=C(Oc1c(Br)cc(Br)cc1CNC(=O)c1cccc(F)c1F)c1ccccc1Cl,0,559.5880000000001,6.2924000000000015,55.4,1,3,5
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1cccc(Cl)c1)Nc1ccccc1[N+](=O)[O-],0,568.6050000000001,6.173600000000003,98.53999999999999,1,5,6
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1cccc(Br)c1)Nc1ccccc1[N+](=O)[O-],0,613.0560000000002,6.282700000000003,98.53999999999999,1,5,6
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccccc1)Nc1ccccc1[N+](=O)[O-],0,534.1600000000002,5.5202000000000035,98.54,1,5,6
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccccc1Cl)Nc1ccccn1,0,524.5960000000001,5.660400000000002,68.29,1,4,5
Cc1ccc(C(=O)Oc2c(Br)cc(Br)cc2CC(=O)Nc2ccccc2[N+](=O)[O-])cc1,0,548.1870000000001,5.8286200000000035,98.54,1,5,6
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccc(Br)cc1)Nc1ccccc1[N+](=O)[O-],0,613.0560000000002,6.282700000000003,98.53999999999999,1,5,6
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccccc1Cl)Nc1cccc([N+](=O)[O-])c1,0,568.6050000000001,6.173600000000002,98.54,1,5,6
O=C(Cc1cc(Br)cc(Br)c1OC(=O)c1ccc(F)cc1)Nc1ccccc1[N+](=O)[O-],0,552.1500000000001,5.6593000000000035,98.53999999999999,1,5,6
O=C(CCc1cc2ccccc2[nH]1)NC1CCSC1=O,1,288.37199999999996,2.2487999999999997,61.96,2,3,4
O=C(Cc1cccc([N+](=O)[O-])c1)NC1CCSC1=O,1,280.305,1.2856,89.31,1,5,4
O=C(CCc1ccc(C(F)(F)F)cc1)NC1CCOC1=O,1,301.26399999999995,2.0697,55.4,1,3,4
O=C(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)NC1CCOC1=O,1,355.2339999999999,2.6984000000000004,55.4,1,3,3
CCCCCCCCCC(=O)CC(=O)NN1CCOC1=O,1,298.38300000000004,2.569700000000001,75.71000000000001,1,4,11
