smiles_raw,activity_label
CCCCCCCC(=O)N[C@H]1CCSC1=O,1
"C1CSC(=O)[C@H]1NC(=O)CC2=CC=C(C=C2)Br",1
"CCCCCCC(=O)N[C@H]1CCSC1=O",1
"CCCCCC(=O)N[C@H]1CCSC1=O",1
C1CSC(=O)[C@H]1NC(=O)CC2=CC=CC=C2,1
"C1CSC(=O)[C@H]1NC(=O)CC2=CC=C(C=C2)C3=CC=CC=C3",1
"COC1=CC=C(C=C1)CC(=O)N[C@H]2CCSC2=O",1
"CCCCCC1=CN(N=N1)CC(=O)N[C@H]2CCOC2=O",1
"CC1=CC=C(C=C1)N2C=C(N=N2)CCC(=O)N[C@H]3CCOC3=O",0
"C1CCC(CC1)C2=CN(N=N2)CC(=O)N[C@H]3CCOC3=O",0
"C1COC(=O)[C@H]1NC(=O)CN2C=C(N=N2)C3=CC(=CC(=C3)F)F",0
"C1COC(=O)[C@H]1NC(=O)CN2C=C(N=N2)C3=CC=CC=C3",0
C1CCC(C1)C2=CN(N=N2)CC(=O)N[C@H]3CCOC3=O,0
"COC1=CC=C(C=C1)N2C=C(N=N2)CCC(=O)N[C@H]3CCOC3=O",0
"C1=CC=C(C(=C1)C(=O)NCCC2=CC=C(C=C2)Br)[N+](=O)[O-]",1
"CCCCCCCCCNC(=O)CC(=O)C1=CC=CO1",1
"CCCCCCCC(=O)NC1CCCC1",0
CCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,1
CCCCCCCCCC(=O)CC(=O)N[C@H]1CCSC1=O,1
"CCCCCCCCCC(=O)CC(=O)N[C@H]1CCCC1=O",1
"CCCCCCCCCC(=O)CC(=O)N[C@H]1CCNC1=O",1
"CCCCCCCCCC(=O)CC(=O)N[C@@H]1CCOC1=O",1
"CCCCCCCCCC(=O)CC(=O)NC1CCCC1",1
"CCCCCCCCCC(=O)CC(=O)NCC1CCCO1",1
"CCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1",1
"CCCCCCCCCC(=O)CC(=O)N[C@H]1CCO[C@@H]1O",1
CCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,1
CCCCC/C=C/CCC(=O)CC(=O)N[C@H]1CCOC1=O,1
"CCCCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O",1
"CCCCCCCCCC(CC(=O)N[C@H]1CCOC1=O)O",1
"C1COC(=O)[C@H]1NC(=O)CC(=O)CSC#N",1
C1CC(=O)N(C1=O)CCCC(=O)OC2=C(C=C(C=C2Br)Br)CNC(=O)C3=CC=CC=C3[N+](=O)[O-],1
CCC(=O)CC(=O)NC1CCCCC1=O,1
"C1CSC(=O)[C@H]1NC(=O)COC2=CC(=CC=C2)Br",1
C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CNC(=O)C3=CC=CC=C3Cl)[N+](=O)[O-],1
"C1=CC=C(C(=C1)C(=O)NCC2=C(C(=CC(=C2)Br)Br)OC(=O)C3=CC=CC=C3Cl)[N+](=O)[O-]",1
"CCC(=O)CC(=O)NC1=CC=CC=C1O",1
C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CNC(=O)C3=CN=CC=C3)Cl,1
"C1COC(=O)[C@H]1NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)C3=CC=CC=C3Cl",1
"C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=C(C(=CC=C3)F)F)Cl",1
"C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OCC3=C(C=CC=C3Cl)Cl)[N+](=O)[O-]",1
COC1=CC=CC=C1C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=CC=CC=C3[N+](=O)[O-],1
"C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=CC=CC=C3[N+](=O)[O-])Br",1
"C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)C3=C(C=CC=C3Cl)Cl)[N+](=O)[O-]",1
"C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=CC(=C(C=C3[N+](=O)[O-])F)F)Cl",1
"C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=CC=CC=C3[N+](=O)[O-])Cl",1
"C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)C3=C(C=C(C=C3)F)Br)[N+](=O)[O-]",1
"C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=C(C=NC=C3)[N+](=O)[O-])Cl",1
"C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=CC=CC=C3[N+](=O)[O-])[N+](=O)[O-]",1
"C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=NC=NC=C3)Cl",1
"CC1=CC=CC=C1C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=CC=CC=C3[N+](=O)[O-]",1
"C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=CC=CC=C3[N+](=O)[O-])F",1
"C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=CC=CC=C3[N+](=O)[O-])I",1
"C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CNC(=O)C3=NC=NC=C3)Cl",1
"C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=CC=C(C=C3)[N+](=O)[O-])Cl",0
"C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CNC(=O)C3=CC=CC=N3)Cl",0
"CC1=CC(=CC=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=CC=CC=C3[N+](=O)[O-]",0
"C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)C3=CC=C(C=C3)Cl)[N+](=O)[O-]",0
"C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CNC(=O)C3=C(C(=CC=C3)F)F)Cl",0
"C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)C3=CC(=CC=C3)Cl)[N+](=O)[O-]",0
"C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)C3=CC(=CC=C3)Br)[N+](=O)[O-]",0
"C1=CC=C(C=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=CC=CC=C3[N+](=O)[O-]",0
"C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=CC=CC=N3)Cl",0
"CC1=CC=C(C=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=CC=CC=C3[N+](=O)[O-]",0
"C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)C3=CC=C(C=C3)Br)[N+](=O)[O-]",0
C1=CC=C(C(=C1)C(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=CC(=CC=C3)[N+](=O)[O-])Cl,0
"C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)C3=CC=C(C=C3)F)[N+](=O)[O-]",0
"C1CSC(=O)[C@H]1NC(=O)CCC2=CC3=CC=CC=C3N2",1
"C1CSC(=O)[C@H]1NC(=O)CC2=CC(=CC=C2)[N+](=O)[O-]",1
C1COC(=O)[C@H]1NC(=O)CCC2=CC=C(C=C2)C(F)(F)F,1
"C1COC(=O)[C@H]1NC(=O)CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F",1
"CCCCCCCCCC(=O)CC(=O)NN1CCOC1=O",1
